logS,standardised_smiles,Identifier
-1.16,O=S(CCCl)CCCl,[191]
,O=S1(=O)N=C(O)c2ccccc21,"[277, 1636]"
-2.6630000000000003,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,[2309]
-5.902,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,[2794]
0.0969999999999999,O=[N+]([O-])C(Br)(CO)CO,[1348]
0.821,O=[N+]([O-])C(CO)(CO)CO,[2238]
1.041,O=[N+]([O-])CCO,[2694]
-3.571,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,[2184]
,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,"[469, 1676]"
-1.35,O=[N+]([O-])OCCO[N+](=O)[O-],[2718]
-5.096,O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,[2142]
-4.559,O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl,[3087]
-2.9760000000000004,O=[N+]([O-])c1c(O)ccc2ccccc12,[2524]
-2.073,O=[N+]([O-])c1c(O)cccc1O,[2640]
-2.28,O=[N+]([O-])c1c(O)nc(O)nc1O,[398]
-6.292000000000001,O=[N+]([O-])c1c2ccccc2cc2ccccc12,[2641]
-4.41,O=[N+]([O-])c1cc(-c2ccccc2)ccc1O,[2779]
-2.503,O=[N+]([O-])c1cc(C(F)(F)F)ccc1O,[2391]
-4.249,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1,[2255]
-4.553,O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl,[2778]
-3.887,O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,[1706]
-4.137,O=[N+]([O-])c1cc(Cl)ccc1Cl,[1705]
-1.663,O=[N+]([O-])c1cc(O)cc([N+](=O)[O-])c1,[2585]
-6.269,O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccccc2)ccc1Nc1ccccc1,[2989]
-2.669,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,[1700]
-1.256,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,[1701]
-3.94,O=[N+]([O-])c1ccc(Cl)c(Cl)c1Cl,[3081]
-2.05,O=[N+]([O-])c1ccc(F)cc1O,[2400]
-3.834,O=[N+]([O-])c1ccc(Nc2ccccc2)c([N+](=O)[O-])c1,[2796]
-1.819,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,[1336]
-5.62,O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,[2850]
-5.215,O=[N+]([O-])c1ccc(Oc2ccc(C(F)(F)F)cc2[N+](=O)[O-])cc1,[3066]
-2.68,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1,[2374]
-5.99,O=[N+]([O-])c1ccc2c(c1)Cc1ccccc1-2,[2646]
-4.273,O=[N+]([O-])c1ccc2ccccc2c1,[2576]
-1.55,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,[2564]
-1.662,O=c1c([N+](=O)[O-])cc(=[N+]([O-])O)c(=O)c1=[N+]([O-])O,[1641]
-1.481,O=c1cc[nH]c2ccccc12,[2652]
,O=c1ccc2ccccc2o1,"[1022, 1729]"
0.36,O=c1cccc2n1CC1CNCC2C1,[41]
-4.61,O=c1oc(-c2ccccc2)nc2ccccc12,[1230]
0.176,OC(=NCN1CCOCC1)c1cnccn1,[2791]
-3.2960000000000003,OC(CCCl)=NCc1ccccc1,[2442]
,OC(CCl)CCl,"[907, 1794]"
-1.3969999999999998,OC(CI)CI,[2483]
-2.52,OC(Cc1ccccc1)c1ccccc1,[1083]
-4.083,OC(c1ccc(F)cc1)(c1cncnc1)c1ccccc1Cl,[3261]
-0.83,OC1=NCC(O)=NC1,[942]
0.8340000000000001,OC1=NCCCCC1,[1924]
,OC1CC(O)C(O)C(O)C1O,"[72, 2428]"
1.05,OC1CCOC1,[882]
-4.19,OC=NC(N1CCN(C(N=CO)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl,[690]
,OC=Nc1ccccc1,"[120, 1898]"
-0.838,OCC(CO)(CBr)CBr,[2954]
-0.275,OCC(CO)(CO)CO,[2136]
-0.254,OCC(Cl)(Cl)Cl,[2131]
1.0,OCC(F)(F)F,[1559]
0.625,OCC(O)C(O)C(O)CO,[1687]
-1.307,OCC(O)COc1ccc(Cl)cc1,[1905]
0.3165,OCC(O)c1oc(O)c(O)c1O,[1333]
-0.155,OCC(S)CS,[1424]
0.64,OCC1(O)OCC(O)C(O)C1O,[25]
1.13,OCC1CO1,[2540]
0.903,OCCBr,[2501]
0.009,OCCCBr,[2708]
0.422,OCCCCl,[2710]
,OCCCc1ccccc1,"[221, 2197]"
1.094,OCCCl,[1960]
1.193,OCCF,[2389]
,OCCN(CCO)c1ccccc1,"[130, 2165]"
,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,"[679, 1487]"
,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,"[683, 1410]"
0.978,OCCNCCO,[2096]
1.207,OCCO,[1968]
,OCCc1ccccc1,"[936, 1431]"
,OCc1c(Cl)cccc1Cl,"[364, 3063]"
-1.744,OCc1cccc2ccccc12,[2982]
,OCc1ccccc1O,"[86, 1710]"
,OCc1cccnc1,"[884, 1872]"
1.008,OCc1ccco1,[1812]
,ONc1ccccc1,"[133, 1875]"
-3.674,Oc1c(Br)cc(Br)cc1Br,[2150]
-4.77,Oc1c2c(c(O)n1SC(Cl)(Cl)Cl)CC=CC2,[2263]
-1.911,Oc1cc(Cl)ccc1Cl,[2581]
-1.949,Oc1cc(O)c2ccccc2c1,[2262]
-1.075,Oc1cc(O)cc(O)c1,[2007]
-2.738,Oc1cc2ccccc2cc1O,[1735]
-2.123,Oc1ccc(Br)cc1Br,[2663]
0.5670000000000001,Oc1ccc(C(O)O)[nH]1,[1822]
-3.167,Oc1ccc(Cl)cc1Cc1ccccc1,[2167]
-3.343,Oc1ccc(N=Nc2ccccc2)cc1,[2836]
-1.271,Oc1ccc(O)nn1,[2209]
-2.205,Oc1ccc2cc(O)ccc2c1,[2575]
,Oc1ccc2ccccc2n1,"[372, 1420]"
-0.8759999999999999,Oc1cccc(Br)c1,[2605]
0.604,Oc1cccc(O)c1O,[1681]
,Oc1cccc2c(O)cccc12,"[514, 1648]"
,Oc1ccccc1-c1ccccc1,"[427, 1718]"
,Oc1cccnc1,"[99, 2024]"
-1.25,Oc1ccnc(O)c1,[2699]
0.59,Oc1ccncn1,[28]
-2.1180000000000003,Oc1nc(O)c2nccnc2n1,[2427]
-3.136,S=C=NCc1ccccc1,[2678]
-4.085,S=C=Nc1cccc(Br)c1,[2886]
,S=C=Nc1cccc2ccccc12,"[736, 2525]"
-1.81,S=C=S,[1529]
-2.71,S=c1cnc2cncnc2[nH]1,[1105]
-2.36,S=c1ncc2nccnc2[nH]1,[419]
,SC1=NCCN1,"[935, 1797]"
-2.77,Sc1ncnc2nccnc12,[495]
,c1cc(-c2ccncc2)ccn1,"[246, 2530]"
-5.238,c1cc2c3c(c1)ccc1cccc(c13)C2,[2330]
,c1cc2c3c(ccc4c3c1CCC4)CCC2,"[1256, 2843]"
,c1cc[nH]c1,"[71, 2054]"
-5.183,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,[1733]
-5.269,c1ccc(-c2ccccc2-c2ccccc2)cc1,[1650]
,c1ccc(-c2ccccn2)nc1,"[230, 2387]"
-2.6,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,[462]
-3.695,c1ccc(COCc2ccccc2)cc1,[1896]
-3.563,c1ccc(Nc2cccc3ccccc23)cc1,[1716]
-1.796,c1ccc(OCC2CO2)cc1,[2195]
-5.098,c1ccc2c(c1)Nc1ccccc1S2,[1739]
-4.6930000000000005,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,[3052]
,c1ccc2c(c1)Oc1ccccc1O2,"[792, 2345]"
-7.42,c1ccc2c(c1)ccc1c3ccc4ccccc4c3[nH]c21,[855]
,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,"[1286, 1358]"
-8.432,c1ccc2c(c1)ccc1cc3ccc4ccccc4c3cc12,[2339]
,c1ccc2c(c1)ccc1ncccc12,"[586, 1658]"
-7.385,c1ccc2cc3c(ccc4ccccc43)cc2c1,[1377]
-8.24,c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,[2336]
-0.415,c1ccc2cnncc2c1,[2343]
-3.014,c1ccc2sccc2c1,[1771]
-1.826,c1cnc2c(c1)ccc1cccnc12,[1473]
0.79,c1cncc(C2CCCCN2)c1,[2432]
